Walk_ID,length,coords,popularity,Difficulty
1,29,"-3.8970413329999474 57.06323817900005,-3.8942028809999556 57.05647205300005,-3.8898853279999344 57.05445088200008,-3.887207119999971 57.05431335600008,-3.883517256999937 57.05178113000005,-3.881416612999942 57.051909745000046,-3.878708432999929 57.05469990100005,-3.875688388999947 57.056022874000064,-3.8683186739999655 57.05644031800006,-3.8486613019999254 57.055680720000055,-3.8376221689999284 57.05272170200004,-3.8337009599999305 57.05023995200003,-3.8268903429999455 57.049336735000054,-3.8192130699999325 57.04466118100004,-3.815109566999979 57.04326512500006,-3.8087433929999293 57.03865080200006,-3.80121240699998 57.038743184000054,-3.7944700489999263 57.040424966000046,-3.7908337249999704 57.03884352400007,-3.7867315939999457 57.03867569700003,-3.7791789699999754 57.03645429200003,-3.7723913619999507 57.03719747900004,-3.7561222719999705 57.03568000100006,-3.7516807019999305 57.030809410000074,-3.750069999999937 57.02680000000004,-3.7456445419999795 57.01973425600005,-3.7380809489999365 57.01459940800004,-3.7341281469999785 57.01311778500008,-3.7315209459999323 57.013153877000036,-3.723799999999926 57.009870000000035,-3.7315209459999323 57.013153877000036,-3.7341281469999785 57.01311778500008,-3.7380809489999365 57.01459940800004,-3.7456445419999795 57.01973425600005,-3.750069999999937 57.02680000000004,-3.7516807019999305 57.030809410000074,-3.7561222719999705 57.03568000100006,-3.7723913619999507 57.03719747900004,-3.7791789699999754 57.03645429200003,-3.7867315939999457 57.03867569700003,-3.7908337249999704 57.03884352400007,-3.7944700489999263 57.040424966000046,-3.80121240699998 57.038743184000054,-3.8087433929999293 57.03865080200006,-3.815109566999979 57.04326512500006,-3.8192130699999325 57.04466118100004,-3.8268903429999455 57.049336735000054,-3.8337009599999305 57.05023995200003,-3.8376221689999284 57.05272170200004,-3.8486613019999254 57.055680720000055,-3.8683186739999655 57.05644031800006,-3.875688388999947 57.056022874000064,-3.878708432999929 57.05469990100005,-3.881416612999942 57.051909745000046,-3.883517256999937 57.05178113000005,-3.887207119999971 57.05431335600008,-3.8898853279999344 57.05445088200008,-3.8942028809999556 57.05647205300005,-3.8970413329999474 57.06323817900005",3,4
2,17.5,"-3.670787599999926 57.13345216600004,-3.6749647709999635 57.13177064900003,-3.6774460969999723 57.12635603600006,-3.6811336899999674 57.12391983800006,-3.6859634029999597 57.11583962600008,-3.689729095999951 57.112759692000054,-3.6911948859999484 57.109048501000075,-3.6898793049999767 57.104433544000074,-3.6910276849999377 57.10071988800007,-3.687629351999931 57.09374771700004,-3.6832069289999367 57.09111397500004,-3.6782710809999344 57.08594199600003,-3.6754616579999606 57.08040044000006,-3.66859287799997 57.07375165500008,-3.6690999999999576 57.07037000000008,-3.668008911999948 57.07286993000008,-3.6754432969999584 57.08039574400004,-3.679674914999964 57.08928846800006,-3.677085811999973 57.092658768000035,-3.6679215489999706 57.09922497900004,-3.666346335999947 57.104587853000055,-3.6564382839999325 57.10761990800006,-3.6531504219999533 57.11413684300004,-3.6444799999999304 57.11671000000007,-3.6444454839999594 57.11980075500003,-3.6446967989999735 57.12465012200005,-3.6483675179999295 57.12833284100003,-3.653960081999969 57.13148608100005,-3.6570676869999375 57.13270022900008,-3.660547291999933 57.13288151900008,-3.6651300199999355 57.13497879300007,-3.6688888979999774 57.13326495600006,-3.6707501569999295 57.13342795600005",4,4
3,22.5,"-3.6816843739999285 57.15912764600006,-3.681515044999969 57.15791068200008,-3.67926614299995 57.157796149000035,-3.6676154779999592 57.16171256100006,-3.6679532759999347 57.16414653000004,-3.6700953509999295 57.166101867000066,-3.6651837209999485 57.16811796400003,-3.6623595699999782 57.17055338000006,-3.6569382249999762 57.171613628000046,-3.6547776419999423 57.17589086000004,-3.6524000889999684 57.17714453900004,-3.6510045109999396 57.179523946000074,-3.6468597669999667 57.18028661400007,-3.6404596229999697 57.17994416400006,-3.634636089999958 57.17671517700006,-3.614869265999971 57.17420814500008,-3.6123858769999515 57.17226385300006,-3.6032900779999295 57.17045204100003,-3.5949269519999802 57.166640983000036,-3.5919019989999583 57.16421955900006,-3.591845171999978 57.16089812100006,-3.589410933999943 57.158583828000076,-3.5888880579999523 57.15182037100004,-3.5861676179999336 57.14582546200006,-3.5864228829999547 57.142017603000056,-3.5847199999999475 57.13822000000005,-3.5864228829999547 57.142017603000056,-3.5861676179999336 57.14582546200006,-3.5888880579999523 57.15182037100004,-3.589410933999943 57.158583828000076,-3.591845171999978 57.16089812100006,-3.5919019989999583 57.16421955900006,-3.5949269519999802 57.166640983000036,-3.6032900779999295 57.17045204100003,-3.6123858769999515 57.17226385300006,-3.614869265999971 57.17420814500008,-3.634636089999958 57.17671517700006,-3.6404596229999697 57.17994416400006,-3.6468597669999667 57.18028661400007,-3.6510045109999396 57.179523946000074,-3.6524000889999684 57.17714453900004,-3.6547776419999423 57.17589086000004,-3.6569382249999762 57.171613628000046,-3.6623595699999782 57.17055338000006,-3.6651837209999485 57.16811796400003,-3.6700953509999295 57.166101867000066,-3.6679532759999347 57.16414653000004,-3.6676154779999592 57.16171256100006,-3.67926614299995 57.157796149000035,-3.681515044999969 57.15791068200008,-3.6816843739999285 57.15912764600006",3,4
4,19,"-3.1362459369999556 56.952364114000034,-3.1397574249999707 56.95116421900008,-3.1548167659999535 56.95847758700006,-3.161986838999951 56.95943898100006,-3.1681642739999347 56.95872739300006,-3.170250931999931 56.95709611800004,-3.1794955369999798 56.95605156700003,-3.1871574419999433 56.95768429300006,-3.1931300859999396 56.95727707900005,-3.1968761179999774 56.960768511000026,-3.1984989329999394 56.96070625600004,-3.2006278629999656 56.95909742200007,-3.214526581999962 56.95655725300003,-3.221023079999952 56.957802118000075,-3.222220408999931 56.95388944200005,-3.225546804999965 56.95233854500003,-3.2330851199999415 56.95277835500008,-3.2370844539999553 56.95220160000008,-3.243092987999944 56.95548240000005,-3.2452599999999734 56.96027000000004,-3.243092987999944 56.95548240000005,-3.2373681229999534 56.951731609000035,-3.2265784919999305 56.94730620000007,-3.2104352759999415 56.93849355800006,-3.2008749189999435 56.934871627000064,-3.2001367259999256 56.93317349400007,-3.2011626009999645 56.93318700200007,-3.197208413999931 56.929791126000055,-3.1979180139999244 56.92927042800005,-3.190588464999962 56.92856689000007,-3.1698079549999534 56.93576358300004,-3.160258049999925 56.94577115900006,-3.1523865009999668 56.943831473000046,-3.151836709999941 56.94306030100006,-3.146382378999931 56.94358478600003,-3.144844821999925 56.94748005000008,-3.1381760659999713 56.95219832600003,-3.136287329999959 56.95237362100005",4,4
5,14,"-3.89369813899998 57.087756683000066,-3.8815010839999786 57.08624399000007,-3.873432315999935 57.08646551500004,-3.8662649639999245 57.08570988100007,-3.861206713999934 57.08382992700007,-3.8575706079999463 57.08345259200007,-3.855457428999955 57.07761835000008,-3.851617368999939 57.07366415700005,-3.844977556999936 57.071778177000056,-3.83381972899997 57.06550141100007,-3.829118277999953 57.06438051300006,-3.825174019999963 57.05942700800006,-3.820064555999977 57.05806821900006,-3.810859999999934 57.06856000000005,-3.8109971169999426 57.070405969000035,-3.817102621999936 57.075407651000035,-3.829735712999934 57.07849978300004,-3.839359986999966 57.08656773700005,-3.8411862509999537 57.08678801000008,-3.843203685999981 57.09012869400004,-3.8457340439999257 57.09126131800008,-3.847950191999928 57.09174890700007,-3.8500099749999777 57.09081909900004,-3.8589100359999406 57.08364029300003,-3.8662920709999753 57.08572385400004,-3.873435213999926 57.08652297700007,-3.881554580999932 57.08625756300006,-3.893698871999959 57.087771048000036",4,4
6,26,"-3.5435992229999442 56.99018377700003,-3.5440844689999267 56.99244194600004,-3.5411373219999405 56.99417639100005,-3.544770231999962 57.000093872000036,-3.5442683059999354 57.004112647000056,-3.5427123709999364 57.00494944400003,-3.5477053029999297 57.00971799600006,-3.552899562999926 57.012647377000064,-3.5627259629999344 57.01439302000006,-3.5692461199999457 57.01700328800007,-3.576155379999932 57.01843221900003,-3.5821303969999576 57.02282857100005,-3.593205522999938 57.021857931000056,-3.5952013239999587 57.02214698500006,-3.5994580469999278 57.02513672500004,-3.6047963939999477 57.025911188000066,-3.6146881279999548 57.02423682300008,-3.6229125059999774 57.02560220100003,-3.6268037919999756 57.028614634000064,-3.627787803999979 57.02583029200008,-3.6323823399999355 57.02537217200006,-3.6451451229999634 57.03128698100005,-3.6520030659999634 57.03195141800006,-3.653714198999978 57.03307979400006,-3.6529827449999743 57.03427186300007,-3.6583799999999655 57.03687000000008,-3.6529827449999743 57.03427186300007,-3.653714198999978 57.03307979400006,-3.6520030659999634 57.03195141800006,-3.6451451229999634 57.03128698100005,-3.6323823399999355 57.02537217200006,-3.6277405999999246 57.02580574800004,-3.6268037919999756 57.028614634000064,-3.6229125059999774 57.02560220100003,-3.6146881279999548 57.02423682300008,-3.6047963939999477 57.025911188000066,-3.5994580469999278 57.02513672500004,-3.5952013239999587 57.02214698500006,-3.593205522999938 57.021857931000056,-3.5821303969999576 57.02282857100005,-3.576155379999932 57.01843221900003,-3.5692461199999457 57.01700328800007,-3.5627259629999344 57.01439302000006,-3.552899562999926 57.012647377000064,-3.5477053029999297 57.00971799600006,-3.5427123709999364 57.00494944400003,-3.5442683059999354 57.004112647000056,-3.544770231999962 57.000093872000036,-3.5411373219999405 56.99417639100005,-3.5440844689999267 56.99244194600004,-3.5435992229999442 56.99018377700003",4,4
7,22.5,"-3.4007023139999433 56.90326228500004,-3.3830467319999684 56.90699256600004,-3.38118923199994 56.90672200700004,-3.3706445769999505 56.90856043800005,-3.364778461999947 56.90779984800008,-3.3590241489999357 56.90888948600008,-3.357129999999927 56.90827000000007,-3.350600363999945 56.908924196000044,-3.343891588999952 56.90855986300005,-3.3392813919999753 56.90446927600004,-3.336019586999953 56.898383024000054,-3.336216194999963 56.896440261000066,-3.338639999999941 56.89418000000006,-3.350325952999981 56.88576046800006,-3.356095512999957 56.883959461000074,-3.361939842999959 56.88382311300006,-3.3660750099999746 56.882184996000035,-3.3657113999999524 56.87910006300007,-3.368989583999962 56.87464105500004,-3.3682399999999575 56.873060000000066,-3.378133352999953 56.869098517000054,-3.3794285709999485 56.86698181300005,-3.37803069499995 56.86149055200008,-3.3877699999999322 56.854640000000074,-3.3779861289999644 56.86148295800007,-3.3787690459999453 56.86550932400007,-3.382540244999973 56.87088538100005,-3.3814529049999464 56.87383269400004,-3.38272662199995 56.87793446500007,-3.384090976999971 56.87928591900004,-3.387386559999925 56.880138843000054,-3.3939388169999347 56.879596906000074,-3.394380159999969 56.880740219000074,-3.3994425999999294 56.88103940500008,-3.4032951829999547 56.88334118700004,-3.4102101669999456 56.881047703000036,-3.41454459199997 56.88631134100007,-3.414211626999929 56.89001050600007,-3.4113805439999396 56.892896945000075,-3.4026042589999292 56.89801728600003,-3.40073216199994 56.90327003700003",4,4
8,19.25,"-3.3902607869999315 56.97729794900005,-3.3833184529999585 56.97439473800006,-3.376919194999971 56.97374117800007,-3.3764367589999438 56.973105892000035,-3.3776877769999487 56.96969418400005,-3.379537660999972 56.96860643900004,-3.379638917999955 56.966450836000035,-3.376748065999948 56.961165651000044,-3.3774893579999343 56.958212365000065,-3.372442522999961 56.95208559800005,-3.3641009799999324 56.94923712500008,-3.3569610859999557 56.94485758500008,-3.342938305999951 56.94159934600003,-3.3376810009999645 56.93919484500003,-3.3327944199999706 56.93449333500007,-3.327136851999967 56.93146015700006,-3.325954939999974 56.92769741800004,-3.3187122359999535 56.921182111000064,-3.310919806999948 56.91798293900007,-3.3091197749999424 56.915600253000036,-3.302962349999973 56.91363859000006,-3.29971117599996 56.911587144000066,-3.2945830899999464 56.911146217000066,-3.292266219999931 56.90945056700008,-3.29194958599993 56.90760573600005,-3.2979499999999575 56.904720000000054,-3.301787383999965 56.89715173400003,-3.3003228579999586 56.89554348400003,-3.2923599999999738 56.893620000000055,-3.3153845529999444 56.900232989000074,-3.3228466509999635 56.90361146500004,-3.332050332999927 56.905499286000065,-3.3362749949999397 56.90722953000005,-3.3411720769999533 56.90686171900006,-3.3430237499999294 56.90789302600007,-3.3444860999999264 56.91056368000005,-3.3436435849999384 56.91445046300004,-3.338310930999967 56.91759116000003,-3.3439158899999484 56.922027779000075,-3.3503041339999413 56.92445843400003,-3.3527604269999642 56.92741025000004,-3.354451357999949 56.93163173900007,-3.353106408999963 56.93401731600005,-3.354461821999962 56.936046618000034,-3.3528066659999354 56.94049120400007,-3.353465220999965 56.94333396300004,-3.364088127999935 56.94924535100006,-3.372441235999929 56.952050572000076,-3.377638506999972 56.95851080600005,-3.3767515069999376 56.961125183000036,-3.3796406129999355 56.966407692000075,-3.3795285099999433 56.96858138300007,-3.376517921999948 56.97160458800005,-3.376874230999931 56.97372639900004,-3.3832936519999635 56.97439141800004,-3.3902457839999443 56.97729272500004",3,4
9,26.5,"-3.794320465999931 57.156290725000076,-3.791105993999963 57.15672974800003,-3.7904609799999776 57.15467330600006,-3.7921968909999464 57.14920271200003,-3.7880967599999735 57.14977516700003,-3.7821726569999328 57.148722872000064,-3.7777620799999454 57.14926974800005,-3.7762537289999614 57.148530089000076,-3.771870207999939 57.14850313300008,-3.762700026999937 57.14456035300003,-3.7586455389999287 57.14494341900007,-3.756659777999971 57.14639445800003,-3.749356478999971 57.13958801700005,-3.7266962539999327 57.12416768400004,-3.724197346999972 57.12044638100008,-3.7233526359999587 57.115686881000045,-3.7187583859999336 57.11134554800003,-3.7199188159999608 57.10998099900007,-3.723552483999981 57.10917995600005,-3.723872134999965 57.107280642000035,-3.7202267419999657 57.103762808000056,-3.714698250999959 57.10088521500006,-3.7075357969999345 57.08957544100008,-3.7090201329999672 57.083813846000055,-3.715568593999933 57.07916662300005,-3.7257571419999636 57.07966734200005,-3.7283899999999335 57.078310000000045,-3.734375560999979 57.08008577800007,-3.7456073579999725 57.078968872000075,-3.7494327089999615 57.080036851000045,-3.753891244999977 57.08392208300006,-3.7592485099999635 57.08603034600003,-3.7625753779999513 57.08545694600008,-3.763370252999948 57.08612202100005,-3.76550036499998 57.08458613800008,-3.7675980109999614 57.08455656700005,-3.76821087899998 57.08789844000006,-3.7660407809999583 57.09171892400008,-3.7678374989999384 57.093230032000065,-3.7775791979999553 57.09495304400008,-3.775649542999929 57.09985432900004,-3.7768488169999728 57.10590627200003,-3.7759471429999394 57.10738720200004,-3.77664490199993 57.109511257000065,-3.779179901999953 57.11068738500006,-3.776744492999967 57.11421305300007,-3.7792646869999658 57.119000019000055,-3.775121381999952 57.124231414000064,-3.769593825999948 57.12810794600006,-3.7706733039999563 57.13559561500006,-3.7774802749999594 57.14070612300003,-3.7824686549999456 57.141266974000075,-3.7926723099999435 57.14771968900004,-3.7904337279999254 57.154691221000064,-3.7911291369999276 57.15672987200003,-3.794405600999937 57.15627333500004",3,4
10,29,"-3.5441593489999264 56.98974111700005,-3.544026373999941 56.99249209000004,-3.540987083999937 56.994227668000065,-3.5446648609999443 56.99955969300004,-3.5443548269999496 57.00399748400008,-3.5426680899999496 57.00501558900004,-3.5473231209999767 57.00945947900004,-3.5529158589999383 57.012665155000036,-3.5626733519999334 57.01441704800004,-3.576387092999937 57.01855779400006,-3.578232277999973 57.02062575600007,-3.581972986999972 57.02216974700008,-3.5768009859999665 57.02440481200006,-3.577064974999928 57.02974337300003,-3.5746222799999714 57.03615238400005,-3.5668796869999255 57.039862708000044,-3.5661840079999365 57.04224786800006,-3.5609476569999288 57.044844683000065,-3.5589597999999683 57.04807248800006,-3.5582671709999545 57.054166886000075,-3.5550550749999275 57.055343366000045,-3.5534699999999475 57.05507000000006,-3.5586898289999453 57.057013366000035,-3.5602851349999582 57.06520775000007,-3.557990469999936 57.07652957800008,-3.5614944809999542 57.08045358700008,-3.5615590649999262 57.08469937900003,-3.569301012999972 57.090078822000066,-3.571155454999939 57.093537593000065,-3.573089298999946 57.09438125400004,-3.5774299999999357 57.093270000000075,-3.5812279099999387 57.092047053000044,-3.589609265999968 57.08742577500004,-3.590788517999954 57.08482771100006,-3.5958721759999435 57.08389515400006,-3.5927080899999737 57.079141166000056,-3.5913208079999777 57.06889869300005,-3.5925764019999633 57.06544203700008,-3.591702120999969 57.05742483800003,-3.5899918609999304 57.055566052000074,-3.587666062999972 57.047277929000074,-3.5841942279999444 57.04320957400006,-3.580117750999932 57.04184552700008,-3.574624485999948 57.037451100000055,-3.577064974999928 57.02974337300003,-3.5768009859999665 57.02440481200006,-3.581972986999972 57.02216974700008,-3.578232277999973 57.02062575600007,-3.576387092999937 57.01855779400006,-3.5626733519999334 57.01441704800004,-3.5529158589999383 57.012665155000036,-3.5473231209999767 57.00945947900004,-3.5426680899999496 57.00501558900004,-3.5443548269999496 57.00399748400008,-3.5446648609999443 56.99955969300004,-3.540987083999937 56.994227668000065,-3.544026373999941 56.99249209000004,-3.5441593489999264 56.98974111700005",2,4
