MUNRO_ID,NAME,HEIGHT,XCOORD,YCOORD,COMMENTS,WALKER,REGION
1,A' Bhuidheanach Bheag,936.1,-4.199,56.87034,,,1
2,A' Chailleach,929.3,-4.17929,57.10956,,,1
3,A' Mhaighdean,967,-5.34672,57.71965,,,1
4,An Sgarsoch,1006.5,-3.75429,56.93211,,,1
5,An Socach,944,-3.51316,56.90229,,,1
6,Aonach Beag,1115.8,-4.52918,56.8335,,,1
7,Beinn a' Bhuird (Beinn a' Bhuird North Top),1196,-3.49938,57.08759,,,1
8,Beinn a' Chaorainn,1083.3,-3.57743,57.09327,,,1
9,Beinn Bheoil,1019,-4.43066,56.81328,,,1
10,Beinn Bhreac,930.3,-3.55347,57.05507,,,1
11,Beinn Bhrotain,1157,-3.7238,57.00987,,,1
12,Beinn Eibhinn,1103.3,-4.54208,56.82526,,,1
13,Beinn Iutharn Mhor,1045,-3.56823,56.89499,,,1
14,Beinn Mheadhoin,1182.9,-3.61146,57.09585,,,1
15,Beinn Udlamain,1010.2,-4.32998,56.83544,,,1
16,Ben Alder,1148,-4.46509,56.8138,,,1
17,Ben Avon-Leabaidh an Daimh Bhuidhe,1172,-3.43444,57.09935,,,1
18,Ben Macdui (Beinn Macduibh),1309,-3.6691,57.07037,,,1
19,Braeriach,1296,-3.72839,57.07831,,,1
20,Broad Cairn,998,-3.24908,56.91915,,,1
21,Bynack More,1090,-3.58472,57.13822,,,1
22,Cairn Bannoch,1012,-3.2784,56.92773,,,1
23,Cairn Gorm,1244.8,-3.64448,57.11671,,,1
24,Cairn of Claise,1063.1,-3.33864,56.89418,,1,1
25,Cairn Toul,1291,-3.71076,57.05441,,,1
26,Carn a' Choire Bhoidheach,1109.9,-3.27271,56.94577,,1,1
27,Carn a' Gheoidh,976.1,-3.46662,56.87307,,,1
28,Carn a' Mhaim,1037,-3.65838,57.03687,,,1
29,Carn an Fhidhleir (Carn Ealar),994,-3.80154,56.93603,,,1
30,Carn an t-Sagairt Mor,1047,-3.30323,56.94297,,1,1
31,Carn an Tuirc,1018.8,-3.35713,56.90827,,1,1
32,Carn Aosda,915.3,-3.42327,56.8957,,,1
33,Carn Bhac,945.1,-3.5609,56.93056,,1,1
34,Càrn Dearg (Loch Pattack),1034,-4.45469,56.85524,,,1
35,Càrn Dearg (Monadhliath),945.7,-4.25325,57.09226,,,1
36,Carn na Caim,940.8,-4.17444,56.91172,,1,1
37,Carn Sgulain,920.3,-4.17699,57.12437,,,1
38,Creag Leacach,988.2,-3.38777,56.85464,,1,1
39,Derry Cairngorm,1155,-3.622,57.0628,,,1
40,Geal Chàrn (Monadhliath),926,-4.37357,57.05742,,,1
41,Geal-chàrn (Alder),1132,-4.50969,56.83784,,,1
42,Geal-chàrn (Drumochter),917.1,-4.30452,56.87443,,,1
43,Glas Maol,1067.7,-3.36824,56.87306,,1,1
44,Lochnagar-Cac Carn Beag,1155.7,-3.24526,56.96027,,1,1
45,Meall Chuaich,950.8,-4.11257,56.96385,,,1
46,Monadh Mor,1113,-3.75007,57.0268,,,1
47,Mullach Clach a' Bhlair,1019,-3.84127,57.01188,,,1
48,Sgairneach Mhor,991,-4.29779,56.82845,,,1
49,Sgor an Lochain Uaine,1258,-3.7259,57.05838,,,1
50,Sgor Gaoith,1116,-3.81086,57.06856,,,1
51,The Cairnwell,933,-3.4212,56.87952,,,1
52,The Devil's Point,1006.9,-3.6888,57.03571,,,1
53,Tolmount,957.8,-3.29795,56.90472,,1,1
54,Tom Buidhe,957.8,-3.29236,56.89362,,1,1
